date,pango_lineage
2022-12-04,DF.1.1
2022-12-05,BQ.1.1.55
2022-12-05,BA.5.2.1
2022-12-10,BQ.1.1
2022-12-10,BQ.1.1
2022-12-12,XBB.1.5
2022-12-14,BA.5.2.1
2022-12-14,BA.5.2.35
2022-12-15,BF.10
2022-12-14,BQ.1.2
2022-12-14,BQ.1.1
2022-12-14,BA.5.2.1
2022-12-15,BQ.1.1
2022-12-17,BN.1
2022-12-13,BQ.1.1
2022-12-12,BQ.1.1
2022-12-14,BQ.1.12
2022-12-15,BQ.1
2022-12-15,BQ.1.2
2022-12-15,BQ.1.1
2022-12-15,BQ.1.1.32
2022-12-14,BQ.1.1.41
2022-12-14,BQ.1.2
2022-12-14,BQ.1.1
2022-12-15,BQ.1.2
2022-12-16,BQ.1.14
2022-12-16,BQ.1.1
2022-12-16,BQ.1.12
2022-12-16,BQ.1.1
2022-12-16,BQ.1.12
2022-12-16,BQ.1
2022-12-15,BN.1.3.1
2022-12-15,BA.5.2.1
2022-12-16,BA.2.3.20
2022-12-17,BQ.1.1.1
2022-12-17,BF.13
2022-12-16,BQ.1.1.5
2022-12-12,BQ.1.12
2022-12-12,BQ.1.1
2022-12-11,BQ.1.2
2022-12-12,BQ.1.1
2022-12-13,BE.9
2022-12-13,BQ.1.1.51
2022-12-09,BQ.1
2022-12-09,BQ.1.1.55
2022-12-09,BQ.1
2022-12-12,BQ.1
2022-12-11,BQ.1.1
2022-12-12,EE.1
2022-12-12,BQ.1
2022-12-11,BQ.1
2022-12-12,BQ.1.12
2022-12-12,BQ.1.1.55
2022-12-12,BF.11.1
2022-12-12,BQ.1.1
2022-12-12,BQ.1.1
2022-12-12,BQ.1.12
2022-12-12,BN.1.3
2022-12-12,BQ.1.1.55
2022-12-12,BQ.1.12
2022-12-12,BA.1
2022-12-12,BA.5.2
2022-12-12,ED.2
2022-12-12,CM.2
2022-12-12,BQ.1.12
2022-12-11,BQ.1.1
2022-12-11,BQ.1.1.55
2022-12-12,BF.7
2022-12-12,XBB.1
2022-12-12,BQ.1.11
2022-12-14,BA.5.2.34
2022-12-13,BQ.1.12
2022-12-13,BQ.1.12
2022-12-14,BQ.1.1.55
2022-12-14,BQ.1.12
2022-12-14,BQ.1.2
2022-12-15,BQ.1.12
2022-12-15,BQ.1.1
2022-12-15,XBB.1.5.32
2022-12-13,BQ.1.1.1
2022-12-14,BQ.1.1
2022-12-08,BQ.1.12
2022-12-19,BA.5.2.22
2022-11-24,BQ.1.10.1
2022-11-23,BQ.1.10.1
2022-11-21,BQ.1.10.1
2022-11-22,BQ.1.1
2022-11-22,BQ.1
2022-11-22,BN.6
2022-11-24,BF.21
2022-11-22,BQ.1.1
2022-11-22,BQ.1
2022-11-23,BQ.1
2022-11-25,BA.5.1
2022-11-25,BN.1.3
2022-11-20,BA.5.1
2022-11-22,BQ.1
2022-11-19,CZ.2
2022-11-23,BA.5.1
2022-11-27,BA.2.3.20
2022-11-28,BQ.1.1
2022-11-22,BA.5.1.2
2022-11-17,BQ.1.1.69
2022-11-18,BA.5.2.1
2022-12-26,BQ.1.2
2022-11-20,BF.2
2022-11-23,BQ.1.1
2022-11-16,BA.5.5
2022-11-26,BQ.1.1
2022-11-26,BQ.1.1.5
2022-11-14,BF.10
2022-12-12,XBB.1.5.15
2022-12-04,BQ.1.1
2022-12-19,BF.7.4
2022-11-23,BF.7
2022-12-17,BQ.1.3
2022-12-03,BQ.1.1
2022-12-12,BQ.1.1.5
2022-12-13,BQ.1.1
2022-12-08,BA.5.2.13
2022-11-14,BA.5.2.1
2022-11-24,BN.1.3
2022-11-21,BQ.1
2022-11-28,BQ.1.1.3
2022-12-05,BQ.1.1.1
2022-12-12,BQ.1.1
2022-12-21,BQ.1.12
2022-12-25,BQ.1.1
2022-12-26,BQ.1.1
2022-11-20,BE.1.2.1
2022-11-19,BA.5.1
2022-11-19,XBB.1
2022-10-24,BA.5.2
2022-11-18,BQ.1.1
2022-11-20,BQ.1.1.25
2022-11-14,BA.5.2
2022-10-20,BF.7.16
2022-10-20,CE.1
2022-10-20,BA.5.1.7
2022-10-20,BA.5.2.1
2022-10-20,BE.1.2
2022-10-20,BA.5.2.13
2022-10-20,BF.26
2022-10-20,BA.5.2.9
2022-10-20,BA.4.6
2022-10-19,BF.26
2022-10-20,BA.5.1.1
2022-10-20,BQ.1.5
2022-10-24,BQ.1.1.4
2022-12-24,BQ.1.1
2022-12-30,BW.1.1
2022-10-24,BA.5.2.1
2022-10-16,BA.5.2.6
2022-10-17,BQ.1.1
2022-10-16,BK.1
2022-10-17,BA.5.6
2022-10-17,BA.5.6
2022-10-17,BA.5.6
2022-10-17,BA.5.6
2022-10-17,BA.5.6
2022-10-17,BA.5.6
2022-10-16,BA.5.2
2022-10-18,BA.5.2.1
2022-10-17,BA.5.2.1
2022-10-17,BQ.1.1
2022-10-18,BQ.1.1
2022-10-17,BA.4.6
2022-10-18,BF.7.7
2022-10-17,BA.4.6
2022-10-17,BQ.1
2022-10-18,BF.28
2022-10-18,BA.5.1.2
2022-10-18,BA.5.1.2
2022-10-17,BA.5.1.2
2022-10-18,BA.5.1.2
2022-10-17,BA.5.2.22
2022-10-18,BA.5.2.1
2022-10-16,BA.5.1.2
2022-10-18,BA.5.1.2
2022-10-18,BA.5.2.24
2022-10-18,BA.5.1.12
2022-10-17,BA.5.2.1
2022-10-17,BA.5.2.1
2022-10-17,BA.5.2.1
2022-10-18,BQ.1.22
2022-10-17,BA.5.2.1
2022-10-19,BA.5.1
2022-10-18,BA.5.1
2022-10-19,BA.5.2.24
2022-10-19,BA.5.1.24
2022-10-20,BA.5.2.1
2022-10-20,BA.5.2.1
2022-10-20,BA.5.2.13
2022-10-20,BA.5.2
2022-10-20,BE.1.2.1
2022-10-20,BA.5.1.30
2022-10-18,BF.13
2022-10-20,BA.5.2.1
2022-10-20,BE.1.1
2022-10-21,BA.5.1.30
2022-10-20,BA.5.2.1
2022-10-20,BA.5.2.1
2022-10-20,BA.5.2.1
2022-10-20,BA.5.2.22
2022-10-20,BA.5.1
2022-10-21,BA.5.1.2
2022-10-21,BA.5.2
2022-10-20,BF.7
2022-10-21,BF.7
2022-10-21,BA.5.2.1
2022-10-21,BQ.1.22
2022-10-21,BA.5.2.19
2022-10-21,BA.5.2.19
2022-10-22,BA.5.2.1
2022-10-21,BE.1.2.1
2022-10-21,BA.5.1
2022-10-22,BF.28
2022-10-22,BE.1.2.1
2022-10-22,BA.5.1.30
2022-10-22,BA.4.6
2022-10-21,BE.1.2.1
2022-10-22,BA.5.1.30
2022-10-22,BE.1.2.1
2022-10-23,BA.5.2.1
2022-10-23,BA.5.2.1
2022-10-21,BA.5.2
2022-10-22,BF.10
2022-10-17,BA.5.2
2022-10-17,BA.5.2
2022-10-16,BA.5.2
2022-10-16,BA.5.2
2022-10-16,BA.5.2
2022-10-17,BA.5.2.27
2022-10-17,BA.5.1
2022-10-17,BA.5.10
2022-10-17,CN.2
2022-10-17,BA.5.5
2022-10-18,BA.5.2.1
2022-10-17,BA.4.6.2
2022-10-18,BA.5.2
2022-10-18,BA.5.2.1
2022-10-24,BQ.1
2022-10-24,BF.7
2022-11-07,BA.4.6
2022-10-30,BA.5.2
2022-11-11,BF.39
2022-10-31,BA.5.2.1
2022-11-07,BQ.1.1
2022-11-07,BA.5.2.1
2022-11-07,BA.4.6
2022-11-11,BA.5.2.8
2022-11-07,BA.5.2
2022-10-18,BA.5.1
2022-10-21,BA.5.5.1
2022-10-17,BA.4.6
2022-10-17,BQ.1
2022-11-14,BA.5.2.1
2022-11-20,BA.5.2.14
2022-10-18,BF.25
2022-10-17,BA.4.6.5
2022-10-26,BA.5.2
2022-10-26,BF.7.27
2022-10-25,BQ.1
2022-10-17,BA.5.2.25
2022-10-26,BF.7.27
2022-10-25,BQ.1.10.1
2022-11-06,BF.7.16
2022-10-29,BA.5.2.14
2022-10-30,BA.5.2
2022-11-07,BA.5.2
2022-10-26,BF.7.27
2022-11-21,BQ.1.2
2022-11-23,BF.7
2022-11-26,CN.2
2022-11-28,BF.7.5
2022-11-22,BQ.1.1.5
2022-10-24,BA.4.6.5
2022-10-31,BQ.1.1
2022-10-17,BA.5.10
2022-10-16,BA.4.6
2022-10-18,BA.4.6
2022-10-17,BQ.1
2022-10-25,BE.1.1
2022-10-27,BA.5.1
2022-10-24,BA.4.6
2022-10-20,BA.5.1
2022-10-30,BQ.1.2
2022-11-12,BQ.1.1.51
2022-11-07,BA.5.2
2022-11-08,BA.5.2.1
2022-11-07,BA.4.6.5
2022-11-07,BA.5.1.2
2022-11-16,BQ.1.5
2022-10-24,BA.5.1
2022-10-25,BA.5.2.1
2022-10-24,BF.10
2022-10-18,BA.5.2.1
2022-10-21,BF.7
2022-10-18,BA.4.7
2022-10-17,BA.5.1.7
2022-10-18,BA.5.2
2022-10-17,BA.5.6
2022-10-18,BA.5.2.1
2022-10-21,BA.5.1.3
2022-10-20,BA.5.1.24
2022-10-28,BE.1.2.1
2022-10-20,BA.5.1.7
2022-11-03,BQ.1.10.1
2022-11-03,BA.5.1
2022-10-30,BQ.1.13
2022-10-17,BA.5.1
2022-10-22,BA.5.2
2022-10-26,BE.1.2.1
2022-10-24,BA.5.1
2022-10-20,BA.5.2
2022-10-23,BA.5.2.8
2022-10-30,BA.5.6
2022-11-13,BQ.1.1.67
2022-10-19,BA.5.2.1
2022-10-27,BQ.1.1.1
2022-10-17,BN.6
2022-10-31,BA.5.2
2022-10-24,BA.5.2.1
2022-11-13,EE.1
2022-10-30,BA.5.2.1
2022-10-19,BA.5.2.3
2022-10-19,BA.5.1.12
2022-10-25,BF.7
2022-11-07,BA.5.2.34
2022-10-28,BQ.1.2
2022-11-07,BA.5.2.1
2022-11-13,BQ.1.1
2022-10-24,BA.5.2.1
2022-11-09,BF.11
2022-10-20,BA.5.2.1
2022-10-26,BA.5.2.1
2022-11-07,BA.4.6
2022-11-07,BQ.1.11
2022-11-07,BA.5.2.6
2022-11-12,BF.11
2022-10-30,BA.5.1.7
2022-11-18,BA.5.2.1
2022-11-20,BF.7.4.1
2022-10-21,BF.4
2022-10-17,BA.5.1.7
2022-10-23,BA.5.2.1
2022-10-30,BA.5.1.7
2022-10-27,BE.1.1
2022-10-25,BA.5.2
2022-10-27,BA.5.5
2022-10-29,BF.11
2022-10-26,BA.5.1.30
2022-10-28,BA.5.2.1
2022-10-24,BE.1.2.1
2022-10-25,BA.5.2.1
2022-10-27,BA.5.2.1
2022-10-21,BA.5.2.1
2022-10-31,BM.1.1.3
2022-10-22,BA.5.1.2
2022-11-26,BA.2.3.20
2022-11-28,BA.4.6
2022-11-13,BA.5.1
2022-11-07,BA.5.2
2022-11-13,BY.1
2022-10-16,BA.5.2.1
2022-10-30,BF.7
2022-10-20,BA.5.1.23
2022-10-21,BF.7.22
2022-10-22,BA.5.1
2022-10-26,BF.7.27
2022-10-26,BQ.1.1.28
2022-10-17,BA.5.1.1
2022-10-22,BA.5.2.1
2022-11-07,BF.11.3
2022-11-13,BQ.1.1
2022-11-07,BA.5.2
2022-10-31,BA.5.2
2022-11-06,BA.5.1.25
2022-11-03,BA.5.2.1
2022-10-20,BF.36
2022-11-07,BF.7.16
2022-10-28,BA.5.2.34
2022-11-13,BQ.1.1.5
2022-11-10,ED.2
2022-11-03,BQ.1.13
2022-10-20,BA.5.2
2022-10-26,BA.5.2.1
2022-10-28,BQ.1.2
2022-10-30,BQ.1.1
2022-11-07,EE.3
2022-11-13,BW.1.1
2022-11-15,BQ.1.5
2022-10-18,BA.5.2.1
2022-10-19,BA.5.1.5
2022-10-18,BQ.1.14
2022-10-17,BF.5
2022-10-19,BA.5.2
2022-10-22,BA.5.1.2
2022-10-20,BE.1.2
2022-10-28,BA.5.1.5
2022-11-01,BA.5.2
2022-11-07,BA.4.6
2022-11-13,BW.1.1
2022-11-07,BA.5.2.8
2022-11-21,BF.7
2022-10-18,BA.5.1.30
2022-10-16,BA.5.2.20
2022-10-17,BA.5.2.4
2022-10-19,BA.5.2.1
2022-10-24,BA.5.1.7
2022-10-31,BQ.1.1
2022-11-15,BA.5.2.21
2022-11-14,BF.11
2022-10-25,BA.5.1.30
2022-10-25,BA.5.2.21
2022-11-07,BA.5.2.20
2022-11-06,BF.10
2022-11-15,BQ.1.2
2022-10-18,BA.4.6
2022-10-17,BF.28
2022-10-25,BA.5.1.12
2022-10-28,BA.5.10
2022-11-08,BA.5.2.21
2022-11-06,BA.5.2.1
2022-10-20,BA.5.1.5
2022-10-17,BF.7.16.1
2022-10-17,BA.5.2.1
2022-10-18,BA.4.6
2022-10-17,BA.5.2.3
2022-10-19,BQ.1.14
2022-10-26,BF.7.27
2022-10-25,BF.10
2022-10-19,BQ.1
2022-10-24,BA.5.2.1
2022-11-03,BA.5.1
2022-10-30,BA.5.2.1
2022-10-17,BA.5.2
2022-10-22,BQ.1.2
2022-10-23,BA.5.1
2022-10-31,BQ.1.1.40
2022-10-26,BA.5.2.1
2022-10-19,BF.10
2022-10-17,BA.5.2
2022-10-17,EE.3
2022-10-19,BA.5.1.5
2022-10-25,BA.5.2.1
2022-10-26,BA.5.2
2022-10-24,BF.10
2022-10-26,BA.5.2.14
2022-10-20,BA.4.6
2022-10-19,BA.5.2
2022-10-24,BA.5.2.22
2022-11-07,BQ.1.1
2022-11-07,BA.5.1
2022-11-13,BQ.1.1
2022-10-17,BA.5.2.13
2022-10-17,BA.5.1.7
2022-10-25,BA.5.2.1
2022-10-28,BA.5.2.1
2022-11-06,BF.7.6
2022-11-06,BQ.1.1
2022-11-13,BA.5.2.13
2022-10-17,BA.5.2
2022-10-17,BF.7
2022-10-19,BA.5.2.18
2022-10-20,BA.5.2.21
2022-10-20,BA.5.2
2022-10-20,BA.5.1
2022-10-25,BA.5.2.34
2022-10-31,BA.5.2
2022-11-08,BA.4.6.5
2022-11-05,BQ.1.12
2022-11-02,BF.7
2022-11-07,BA.5.2
2022-10-18,BA.5.1
2022-10-18,BA.5.2.1
2022-10-25,BF.7
2022-10-18,BA.5.2.1
2022-10-23,BA.5.2.1
2022-10-18,BA.5.2.9
2022-10-20,BA.5.2.1
2022-10-16,BE.4
2022-10-20,BA.5.2
2022-10-18,BA.5.2.1
2022-10-24,BA.5.2.23
2022-10-19,BA.5.1
2022-10-19,BA.5.2.1
2022-10-21,BA.5.2.1
2022-10-20,BA.5.1
2022-11-04,BA.5
2022-10-20,BF.10
2022-10-26,BA.4.6
2022-10-29,BA.5.1
2022-11-08,BA.5.2
2022-11-08,BA.5.2.1
2022-11-13,BQ.1.1
2022-11-14,BA.5.2
2022-10-17,BF.7.4
2022-10-26,XBB.1
2022-10-24,BA.5.2.1
2022-11-14,BA.5.2
2022-11-26,BA.5.2.26
2022-11-25,BQ.1
2022-11-21,BQ.1.1.67
2022-12-05,BA.5.2.13
2022-12-06,BQ.1.1
2022-10-19,BA.5.1
2022-10-18,BA.5.2.27
2022-10-17,BA.5.1.7
2022-11-07,BF.7.16
2022-10-27,BA.5.2.9
2022-11-13,BA.5.1
2022-10-31,BA.5.2
2022-11-06,BA.4.6
2022-11-13,BQ.1.1.5
2022-10-19,BA.5.2
2022-10-17,BA.4.6.5
2022-10-17,BA.5.1.7
2022-10-17,BA.4.6
2022-10-20,BE.1
2022-10-18,BA.5.2.1
2022-10-25,BA.5.2.1
2022-10-31,BQ.1.10.1
2022-11-07,BQ.1
2022-10-31,BQ.1.1
2022-11-07,BF.7
2022-11-03,BF.7.6
2022-11-15,BA.5.2.13
2022-11-09,BQ.1.2
2022-10-18,BA.5.2.1
2022-10-17,BA.5.1.7
2022-10-24,BA.5.1
2022-11-15,BA.2.75.2
2022-10-24,BA.5.1.7
2022-11-20,BQ.1.1
2022-11-20,CN.2
2022-10-24,BA.5.2.22
2022-10-30,BA.5.1.1
2022-11-22,BA.5.6.2
2022-11-14,BQ.1.1
2022-12-06,BF.7.21
2022-11-19,BA.5.1
2022-11-18,BQ.1.11
2022-11-18,BA.5.2
2022-12-17,XBB.1
2022-12-20,BQ.1.1
2022-12-20,BF.5
2022-12-22,CZ.2
2022-12-21,BQ.1.1
2022-12-19,BQ.1.5
2022-12-19,BQ.1.5
2022-12-20,BQ.1.1
2022-12-19,BQ.1.1
2022-12-20,BQ.1.1.1
2022-12-20,BQ.1.1
2022-12-20,BQ.1.1
2022-12-18,BF.11
2022-12-20,BQ.1.14
2022-12-19,BQ.1.1
2022-12-20,BQ.1.10
2022-12-19,BA.5.1.27
2022-12-20,BA.5.1.27
2022-12-20,BQ.1.3
2022-12-21,CH.1.1
2022-12-21,BA.5.1
2022-12-19,BF.11.1
2022-12-16,BF.11.1
2022-12-21,BN.1
2022-12-20,BA.5.2.35
2022-12-21,BQ.1
2022-12-17,BQ.1.2
2022-12-16,BQ.1.1
2022-12-14,BF.26
2022-12-19,BQ.1.1.40
2022-12-17,BA.5.2.1
2022-12-18,BQ.1.1.18
2022-12-16,BQ.1.1
2022-12-16,BQ.1.1
2022-12-19,BA.5.2
2022-12-19,BA.5.2.63
2022-12-19,BN.1.4
2022-12-18,BQ.1
2022-12-18,BA.5.2.1
2022-12-17,BQ.1.1.6
2022-12-18,BW.1
2022-12-18,BQ.1.1.10
2022-12-19,BQ.1.1.10
2022-12-15,BQ.1.1.40
2022-12-19,BQ.1.1
2022-12-19,BQ.1.1
2022-12-18,BQ.1.1
2022-12-22,CH.1.1
2022-12-22,BQ.1
2022-12-22,BQ.1.1.17
2022-12-23,BN.1.5
2022-12-19,BQ.1.1
2022-12-23,BQ.1
2022-12-22,BQ.1.1
2022-12-22,BQ.1.1
2022-12-21,BQ.1.1
2022-12-22,BQ.1.1
2022-12-23,BQ.1.1
2022-12-23,BQ.1.1.52
2022-11-07,BF.7.16
2022-10-27,BA.5.2.1
2022-10-27,BA.5.2
2022-10-20,BA.5.2
2022-10-17,BA.5.1.7
2022-10-17,BF.8
2022-10-27,BA.5
2022-11-07,BF.10
2022-10-29,EE.3
2022-11-06,BA.4.6
2022-11-08,BQ.1.13
2022-11-13,BF.7.16.1
2022-11-12,BQ.1.1
2022-11-12,BA.4.6.4
2022-11-12,BA.4.6.4
2022-10-18,BA.5.2.13
2022-10-20,BF.7
2022-10-17,BA.5.1.37
2022-10-17,BA.5.2.9
2022-10-27,BA.5.2.22
2022-10-30,EE.3
2022-10-17,BA.5.2.1
2022-10-25,BF.5
2022-10-24,BA.5.1
2022-10-24,BA.4.7
2022-10-24,BA.5.2.1
2022-10-24,BA.5.2.9
2022-10-24,BA.5.2.58
2022-10-24,BA.5.1
2022-10-31,CN.1
2022-10-31,BQ.1.1.69
2022-11-07,BE.1.2.1
2022-11-07,BQ.1.1
2022-11-07,BQ.1
2022-11-07,BF.7.4
2022-11-06,BQ.1.1.3
2022-11-07,BA.5.2.6
2022-10-31,BF.7.24
2022-10-30,BQ.1
2022-10-30,CM.2
2022-10-30,BA.5.2.20
2022-10-31,BA.5.2
2022-10-30,BA.4.6
2022-10-30,BE.1.1
2022-10-31,BQ.1.1
2022-10-31,BA.5.2.25
2022-10-31,BA.5.1.30
2022-10-30,BF.26
2022-10-31,BA.5.2.1
2022-10-30,BA.5.2.1
2022-10-31,BA.5.2
2022-10-29,BQ.1.1
2022-10-31,BA.5.1.7
2022-10-31,BA.5.2.25
2022-10-31,BA.5.2.25
2022-10-30,BA.5.2.1
2022-10-31,BQ.1.1.40
2022-10-31,BA.5.2
2022-10-31,BQ.1.5
2022-10-30,BA.4.6
2022-10-31,BF.7.24
2022-10-30,BA.5.2.22
2022-10-31,BA.4.6
2022-11-01,BA.5.1
2022-10-31,BF.7
2022-11-01,BF.8
